Time (s),VP+ Power (W),
116.6,0.000616888,
116.7,-0.004398384,
116.8,0.014147399,
116.9,-0.015394749,
117,0.014058127,
117.1,0.025912521,
117.2,-0.004749149,
117.3,0.003774324,
117.4,0.005350278,
117.5,-0.004757513,
117.6,-0.00725782,
117.7,-0.004379095,
117.8,-0.008068936,
117.9,0.00299065,
118,0.004818696,
118.1,0.000618184,
118.2,0.001145511,
118.3,0.02753942,
118.4,0.00114663,
118.5,0.01588717,
118.6,0.014821721,
118.7,0.002196124,
118.8,-0.013637159,
118.9,0.006942351,
119,0.00114831,
119.1,-0.007294428,
119.2,-0.002543089,
119.3,0.006653706,
119.4,-0.002539539,
119.5,0.010363903,
119.6,0.017729948,
119.7,0.013282406,
119.8,0.001140472,
119.9,-0.015440046,
120,0.024301107,
120.1,0.014877674,
120.2,0.008511897,
120.3,-0.011771734,
120.4,0.010095584,
120.5,0.019649287,
120.6,0.026983358,
120.7,0.002984806,
120.8,0.012201615,
120.9,0.004818696,
121,0.010379098,
121.1,-0.000696803,
121.2,-0.000961483,
121.3,-0.000698168,
121.4,0.002197966,
121.5,0.022836569,
121.6,0.008571025,
121.7,0.006683072,
121.8,-0.0080571,
121.9,0.005352523,
122,0.014037526,
122.1,-0.002545928,
122.2,0.010790336,
122.3,0.011704466,
122.4,0.00114607,
122.5,0.017729948,
122.6,-0.004121854,
122.7,0.00667002,
122.8,-0.005308661,
122.9,0.013232411,
123,0.011670214,
123.1,0.017773293,
123.2,0.002983346,
123.3,0.001145511,
123.4,-0.004123581,
123.5,0.015879402,
123.6,0.00297458,
123.7,0.021134519,
123.8,0.038037661,
123.9,0.013226856,
124,-0.000697485,
124.1,0.028786612,
124.2,-0.00069885,
124.3,0.010112508,
124.4,0.00114831,
124.5,0.024341863,
124.6,0.010358838,
124.7,0.002198888,
124.8,0.002992111,
124.9,0.019572725,
125,0.016461831,
125.1,0.010384163,
125.2,0.010363903,
125.3,0.01169468,
125.4,-0.00253812,
125.5,0.016461831,
125.6,0.021436445,
125.7,0.002997954,
125.8,-0.010864884,
